time,q1,q2,q3,q4,q5,q6
1780319671.307259560,-0.0025453676554283433,-0.7516360508943318,0.3808171864822966,-2.770773797894376,1.5616276940579576,0.0
1780319671.317271471,-0.0014507259736245004,-0.7503360559025447,0.3783519543973451,-2.769608560801072,1.565569643721583,0.0
1780319671.327610016,-0.0003558960542315859,-0.7490452496945101,0.3759022240028792,-2.7684496366142115,1.5695138404488105,0.0
1780319671.336888790,0.0007390577747348193,-0.747763875046501,0.3734684953079172,-2.7672972825665236,1.5734601097436598,0.0
1780319671.346910715,0.0018341870642519797,-0.7464920424120898,0.37105101791553124,-2.7661516378075874,1.5774086948185395,0.0
1780319671.356746197,0.002929489057354129,-0.7452299304998959,0.3686501717298315,-2.765012903532838,1.5813596434723078,0.0
1780319671.366469145,0.0040249419229012595,-0.7439777437764565,0.36626638650675686,-2.763881305031668,1.585312934854525,0.0
1780319671.377159357,0.0051205277641206415,-0.7427356856382978,0.3639000908912174,-2.7627570675524704,1.5892685624009122,0.0
1780319671.387596607,0.006216231186379373,-0.7415039602198048,0.36155171583669254,-2.7616404179143386,1.5932265286903935,0.0
1780319671.396751165,0.007312038392880416,-0.7402827735367641,0.35922169677173243,-2.7605315855300354,1.5971868421980047,0.0
1780319671.406922102,0.008407936693333173,-0.739072334123775,0.35691047480860416,-2.759430802977228,1.601149515533286,0.0
1780319671.417285442,0.009503914087439336,-0.7378728535597725,0.35461849774248166,-2.758338306472146,1.605114563945018,0.0
1780319671.426980734,0.010599959083116728,-0.7366845467124161,0.35234622051612025,-2.757254336089888,1.609082004671851,0.0
1780319671.436551332,0.01169606057728001,-0.7355076319007763,0.35009410552898423,-2.7561791359108403,1.6130518565179328,0.0
1780319671.447538614,0.012792207779721121,-0.7343423310004704,0.3478626228361615,-2.7551129541144705,1.6170241395837197,0.0
1780319671.456604004,0.013888390196399758,-0.733188869476626,0.345652250208455,-2.754056043006443,1.620998875211653,0.0
1780319671.466532230,0.014984597533973298,-0.7320474764916716,0.3434634733348617,-2.7530086591133176,1.6249760856460704,0.0
1780319671.476519108,0.016080819909628286,-0.730918384687766,0.3412967853999049,-2.751971062977451,1.6289557948008238,0.0
1780319671.486536503,0.017177047621945052,-0.7298018304215077,0.33915268752652455,-2.750943519365174,1.6329380274348921,0.0
1780319671.496448994,0.01827327138492274,-0.7286980535121046,0.33703168828404456,-2.749926297026605,1.6369228100092754,0.0
1780319671.506756306,0.019369482180106923,-0.7276072973762648,0.3349343039364724,-2.7489196688090214,1.6409101701579163,0.0
1780319671.516640425,0.02046567122151033,-0.7265298090343402,0.3328610584423751,-2.7479239116506338,1.6449001365675184,0.0
1780319671.526419640,0.021561830191742404,-0.7254658388437871,0.3308124829279703,-2.746939306320184,1.6488927398453042,0.0
1780319671.537501335,0.022657951203428395,-0.7244156405026771,0.3287891156769349,-2.745966137403272,1.6528880123890464,0.0
1780319671.546936512,0.02375402687026207,-0.7233794709383812,0.32679150189711975,-2.74500469318036,1.6568859886569882,0.0
1780319671.556936741,0.024850194258351888,-0.7223574569912214,0.3248199364386451,-2.7440551416610974,1.6608872308278664,0.0
1780319671.566520691,0.025947228866834093,-0.7213491542468589,0.3228736111283874,-2.743117119086447,1.6648946359673582,0.0
1780319671.577424765,0.027045818331624005,-0.7203542435334471,0.3209519570678674,-2.742190375729741,1.6689107889489965,0.0
1780319671.587105274,0.02814621652709981,-0.7193728328413158,0.319055229107753,-2.7412750584501615,1.6729366956694207,0.0
1780319671.596720219,0.029247830941982356,-0.7184057876795853,0.3171851473817367,-2.740372021871061,1.6769702656613346,0.0
1780319671.606823444,0.030350076425878614,-0.717453939553856,0.3153433695704388,-2.7394820921682372,1.6810094293620645,0.0
1780319671.616714239,0.03145215530650258,-0.7165182698935535,0.3135318467668125,-2.738606239007136,1.685051331114343,0.0
1780319671.626899004,0.03255322721301401,-0.7155997521248416,0.31175251813063787,-2.737745428121662,1.6890929491286488,0.0
1780319671.636607409,0.0336527417178738,-0.714699076278821,0.31000677672994237,-2.7369003625487154,1.6931323169323818,0.0
1780319671.646904469,0.034750314982917585,-0.7138167672650697,0.30829569728488465,-2.73607159209898,1.6971680738258774,0.0
1780319671.657069206,0.03584524664445965,-0.7129535734196999,0.30662078929354614,-2.735259877935695,1.7011976885491629,0.0
1780319671.666816950,0.036936725950711846,-0.7121102826327137,0.30498364098356484,-2.7344660203962547,1.7052182134604148,0.0
1780319671.676779747,0.03802461918602296,-0.7112871221839328,0.3033847532941343,-2.7336902931393845,1.7092291868190308,0.0
1780319671.686792850,0.03910891238866365,-0.7104842199407857,0.3018244334844538,-2.732932875556558,1.713230586506832,0.0
1780319671.697151184,0.040189500360608976,-0.70970176471016,0.3003031064561156,-2.7321940037422396,1.7172220523336168,0.0
1780319671.707134008,0.04126623683627195,-0.7089399632437088,0.2988212313417548,-2.7314739300772057,1.7212030700028411,0.0
1780319671.716899395,0.042338963827542875,-0.7081990162553531,0.29737925485045447,-2.7307729005564414,1.7251730789867012,0.0
1780319671.726602554,0.0434080806550563,-0.7074787383623677,0.29597687104525405,-2.730090794626065,1.7291335812400768,0.0
1780319671.737339735,0.044474716278176896,-0.7067784940895079,0.29461289498306753,-2.7294270628182566,1.7330887907169403,0.0
1780319671.746965885,0.04553957663123431,-0.7060979889205976,0.29328680274791497,-2.7287814757329847,1.7370413665502193,0.0
1780319671.757047892,0.04660306302360717,-0.7054371614154826,0.2919985225896364,-2.7281540230600188,1.7409928457949775,0.0
1780319671.766985655,0.04766541626219345,-0.7047960714125914,0.2907482178080026,-2.727544808260498,1.7449441742939404,0.0
1780319671.777551413,0.04872679012112191,-0.7041748436609732,0.28953617721921976,-2.72695399540139,1.7488959774705293,0.0
