time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ax,ay,az,imu_wx,imu_wy,imu_wz,v_bx,v_by,v_bz,w_bx,w_by,w_bz
79.26,7.439183285020098e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-1.002804139080852e-19,-2.113157381200873e-17,-8.926602156845033e-14,-1.0510164188576588e-13,-1.0872326159959859e-13,1.6950745483615133e-14,-2.2615589492655514e-17,-0.007768271354492799,0.007768633001541208,-9.799993520425723,1.2184644724847563e-08,7.687726665051558e-09,2.1326608139289893e-08,0.7999999999994583,-5.036249976523268e-12,0.0,0.0,0.0,0.0
79.28,2.0404676503896605e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.2641497360193177e-21,-3.290449498225633e-17,-8.931864321738262e-14,-1.051004370139523e-13,-1.0866190581594995e-13,1.6973085921373706e-14,-2.9406364691955814e-17,-0.007768285463771089,0.007768830259012878,-9.799993913043863,1.5548643216324622e-08,9.975236621554822e-09,3.195823023580112e-09,0.8000000000000267,-5.036249976526847e-12,0.0,0.0,0.0,0.0
79.3,-9.000487575992221e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,9.326809562864251e-20,8.209563508315569e-18,-8.923474552828981e-14,-1.0509478917732629e-13,-1.0856826402517869e-13,1.6896813849528444e-14,2.1898759503448394e-18,-0.007768321476071826,0.007769064447632606,-9.799994687664498,2.1843304007920622e-08,1.4264625163281466e-08,-1.2342881608691573e-08,0.8000000000000267,-5.036249976526847e-12,0.0,0.0,0.0,0.0
79.32,-2.8070111141553066e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,4.8597582263615224e-20,-2.788501859664155e-17,-8.919479450957121e-14,-1.0493401409470197e-13,-1.084318216272672e-13,1.6916184937326722e-14,-2.1784141584569296e-17,-0.007768311959605624,0.007769617129437092,-9.800000456970361,5.3493974892468166e-08,3.1494134632024096e-08,-1.5306340031635497e-08,0.8000000000000267,-5.036249976526847e-12,0.0,0.0,0.0,0.0
79.34,-2.528745281297316e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.007065420252176e-19,-3.5969995200821575e-17,-8.924992684856268e-14,-1.0511436834429738e-13,-1.0865745257359012e-13,1.692330740253763e-14,-3.42488918126236e-17,-0.007767744753774911,0.00776854750726612,-9.799995099502063,-4.275367082928135e-08,5.387587641735186e-09,-3.8135480047934294e-08,0.799999999999436,-5.027055942100434e-12,0.0,0.0,0.0,4.336808689939799e-14
79.36,-3.2323524748919356e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-1.9249420785120647e-19,2.9057301035973374e-17,-8.922070797879183e-14,-1.0513447464268628e-13,-1.0866499834537152e-13,1.689952678900081e-14,2.555472707406888e-17,-0.007767789124144885,0.007768367824537964,-9.799994696767639,-3.4968749029308845e-08,4.406827139149384e-09,-3.1552506860744173e-08,0.8000000000000267,-5.044750121559135e-12,0.0,0.0,0.0,-4.3368086899428804e-14
79.38,-2.7335586192247027e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-9.894835186059672e-20,2.491229211053131e-17,-8.927107011446925e-14,-1.0517295523623272e-13,-1.0859993152642163e-13,1.6894906000044585e-14,4.17168310670456e-17,-0.007767825898397111,0.007768202783232695,-9.799994337170514,-2.8601598142718134e-08,3.604842044090642e-09,-2.640657825815022e-08,0.8000000000000267,-5.036249976526847e-12,0.0,0.0,0.0,0.0
79.4,-2.0312341463270535e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.0893233175076702e-19,5.7969911322543895e-19,-8.924559615075514e-14,-1.0517928081325417e-13,-1.0854377119219564e-13,1.6894790539720608e-14,1.8732550102658163e-17,-0.007767856251719255,0.007768053445918133,-9.799994015318878,-2.3394039843707542e-08,2.9490781827313707e-09,-2.242723611410659e-08,0.7999999999994583,-5.036249976523268e-12,0.0,0.0,0.0,0.0
79.42,-1.8085668015507085e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.416155948136179e-19,-7.459076499642425e-18,-8.928292156332494e-14,-1.0516452113353786e-13,-1.0865003050299165e-13,1.69495117106976e-14,-8.840415843014122e-18,-0.007767881216875381,0.007767919870372562,-9.79999372651523,-1.9134924816682464e-08,2.412890036594911e-09,-1.938835146357486e-08,0.8000000000000267,-5.036249976526847e-12,0.0,0.0,0.0,0.0
79.44,-1.5501071978168312e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-2.997805966488972e-19,1.3036248406115017e-17,-8.926913077078877e-14,-1.0512611584448e-13,-1.0866524574772828e-13,1.6915240733273693e-14,5.634752713892916e-18,-0.007767901667434231,0.007767802072979537,-9.799993467155169,-1.5651512697629914e-08,1.9745022552246374e-09,-1.71008750082038e-08,0.8000000000000267,-5.027055942104006e-12,0.0,0.0,0.0,4.3368086899428804e-14
79.46,-1.5519268435658293e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.4456730579355453e-19,3.362299663078e-18,-8.926338184033523e-14,-1.0515616233533127e-13,-1.0864545355945607e-13,1.6904347176328653e-14,1.123281389462707e-17,-0.00776791831850797,0.007767700017441133,-9.799993234511245,-1.280255253886708e-08,1.6160763381060375e-09,-1.5406847899959815e-08,0.8000000000000267,-5.044750121559135e-12,0.0,0.0,0.0,-4.3368086899428804e-14
79.48,-1.9994491501630124e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-5.270852014522415e-19,1.3172541306130916e-17,-8.925270154376499e-14,-1.0512957985094419e-13,-1.0865559705594722e-13,1.6922823419647113e-14,2.5444953586107018e-17,-0.007767931786138451,0.0077676136042558195,-9.799993026533343,-1.0472496439924056e-08,1.3230384794436169e-09,-1.4174386156655948e-08,0.7999999999994583,-5.036249976523268e-12,0.0,0.0,0.0,0.0
79.5,-2.243493873584673e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-6.031623530518991e-19,-1.0473251322805903e-17,-8.929653523847675e-14,-1.0514087552419653e-13,-1.0865411264182623e-13,1.6943008022064064e-14,-1.771028318112735e-17,-0.007767942578012742,0.007767542679598812,-9.799992841730054,-8.566822753495775e-09,1.0834658058208504e-09,-1.3293534674726466e-08,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.52,-1.7257223107632545e-19,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-6.147455464836891e-19,1.365290137780553e-17,-8.928364965265814e-14,-1.0510661198199793e-13,-1.0876841252910808e-13,1.6967808877110503e-14,-9.588183967174941e-18,-0.007767951126281716,0.007767487009566366,-9.799992679006106,-7.00824168652198e-09,8.875961844913548e-10,-1.2672819443167572e-08,0.8000000000000267,-5.036249976526685e-12,0.0,0.0,0.0,0.0
79.54,-8.318322963173277e-20,-1.5699999999950205,1.570000000012558,-1.5699999999842664,-1.5700000000000085,-3.7492022908432305e-19,1.3792919635151871e-17,-8.929332190016026e-14,-1.0514403831270713e-13,-1.086659879547917e-13,1.691489154410719e-14,3.9557559966530053e-17,-0.00776795779185776,0.007767446292662606,-9.799992537574262,-5.733526058831313e-09,7.274484474808784e-10,-1.2236367162820894e-08,0.7999999999994583,-5.027055942100434e-12,0.0,0.0,0.0,4.336808689939799e-14
