time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ax,ay,az,imu_wx,imu_wy,imu_wz,v_bx,v_by,v_bz,w_bx,w_by,w_bz,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
76.96,9.957870800867671e-14,-1.5699996939736318,1.5700007812328975,-1.5699999999841052,-1.5700000000001155,3.01936500748216e-14,-3.3225393744674997e-13,-3.400239701894432e-06,-8.680225969598729e-06,-7.755304971109533e-13,7.41508019062539e-13,-2.0018659784861413e-13,-0.07437251552189324,-0.19099036484269585,-9.800089676073112,1.1053527501070989e-05,-7.52751094822178e-06,0.009854295142434206,0.7989301754819198,-5.0700526737611045e-12,0.0,0.0,0.0,-4.01713930131336e-13,-1.723465988400652e-11,3.2790085298507363,-3.281993074440528,0.0029845445898057307,-1.4513560474174596e-14,-1.7637970382304763e-11
76.98,9.365098063522021e-14,-1.5699997521177282,1.570000632801033,-1.5699999999841183,-1.5700000000001024,2.6533987771039944e-14,-2.9276664422704093e-13,-2.754194042344356e-06,-7.0309830580439486e-06,-7.152079894162739e-13,6.894902032299297e-13,-1.8356841408742678e-13,-0.058344019575352166,-0.18487418705875233,-9.800098671332362,8.828002347054813e-06,-5.4104031726733336e-06,0.007102416563500647,0.7990928926360659,-5.051010434352277e-12,0.0,0.0,0.0,-2.806694240526769e-13,-1.7154509708970977e-11,3.2796763619877276,-3.2826612965582624,0.002984934570546666,-1.412439776750119e-14,-1.7435888858027113e-11
77.0,8.836226928962738e-14,-1.569999799214444,1.5700005125712224,-1.569999999984132,-1.570000000000089,2.3197719221118742e-14,-2.6392636753652063e-13,-2.230897066935596e-06,-5.695096287038046e-06,-6.504505472293285e-13,6.233281689758373e-13,-1.665103241885993e-13,-0.04530300992776769,-0.17969989072909737,-9.800105705196597,7.271812229000987e-06,-3.7731103557183165e-06,0.0049625400246928264,0.7992627197220175,-5.037304809343302e-12,0.0,0.0,0.0,-1.942010055483807e-13,-1.7094514810423443e-11,3.280373374982986,-3.2833587674076634,0.0029853924246925696,-1.3558604145531895e-14,-1.7288982014242318e-11
77.02,8.354168923181562e-14,-1.5699998373627817,1.5700004151850766,-1.5699999999841452,-1.570000000000078,2.018543866864543e-14,-2.4271899081908666e-13,-1.807026526670455e-06,-4.613027992868091e-06,-5.811819703015116e-13,5.453322168751058e-13,-1.497456083862181e-13,-0.03489601899234303,-0.17503592839256163,-9.800110848556939,6.129567808056532e-06,-2.515305151380494e-06,0.0033117441351395494,0.7994295781168875,-5.02743781781555e-12,0.0,0.0,0.0,-1.3232177402091356e-13,-1.705019478240429e-11,3.2810582036706224,-3.2840440763320276,0.002985872661419095,-1.3633216153957423e-14,-1.718233903959432e-11
77.04,7.906856968558255e-14,-1.5699998682629337,1.5700003363022983,-1.569999999984154,-1.5700000000000691,1.7487257773066744e-14,-2.2685163146190563e-13,-1.4636913880506892e-06,-3.736552685289384e-06,-5.298751751006513e-13,5.018287011600018e-13,-1.3372587690743014e-13,-0.02673334337715229,-0.17053858305916794,-9.800114229058202,5.2312600199362815e-06,-1.5539727908607469e-06,0.0020467785836676584,0.7995908228616339,-5.020192065351396e-12,0.0,0.0,0.0,-8.713991569776088e-14,-1.701295081569836e-11,3.281719992490948,-3.2847063515407435,0.0029863590498085415,-1.3961668948248813e-14,-1.7100001952685278e-11
77.06,7.481096349122338e-14,-1.569999893292057,1.570000272407247,-1.569999999984163,-1.570000000000062,1.5484907611913223e-14,-1.5581420484182088e-13,-1.185590172792852e-06,-3.0266076616503973e-06,-3.580562197488548e-13,3.1950162179771014e-13,-7.27801488399407e-14,-0.020423613597773747,-0.1658561270477597,-9.800115938184241,4.471822313874824e-06,-8.232463281110264e-07,0.001084524257341675,0.7997495769906782,-5.014621807661341e-12,0.0,0.0,0.0,-5.265169996595562e-14,-1.6982904293274642e-11,3.282371559164655,-3.2853584172724055,0.002986858107760534,-1.4195413007297709e-14,-1.7035999938353688e-11
77.08,7.495488801152806e-14,-1.5699999135656526,1.5700002206522556,-1.5699999999841674,-1.570000000000055,1.3677340780121526e-14,3.1792497743370144e-14,-9.603281899858242e-07,-2.4515522028338624e-06,-1.959642590837533e-13,4.167296321957914e-13,-1.0560577912770313e-13,-0.01559999098824507,-0.16058387330261398,-9.800115983611361,3.7936541384927712e-06,-2.7322728290708023e-07,0.0003610506279559702,0.7999130933280879,-5.0100743379476796e-12,0.0,0.0,0.0,-2.4704704793899325e-14,-1.6967820969571586e-11,3.2830426710965193,-3.2860300638482456,0.002987392751739968,-1.3710386134565503e-14,-1.6992969711225025e-11
77.1,7.47216959997354e-14,-1.5699999299872631,1.5700001787307116,-1.5699999999841718,-1.5700000000000458,1.1726080663361047e-14,-4.6084818605131415e-14,-7.778656538705547e-07,-1.9857572789000783e-06,-2.549798638615079e-13,3.68222934709015e-13,-9.843632046003822e-14,-0.011941009172270874,-0.1543517745527662,-9.800114349125414,3.171341069996895e-06,1.3275057492920058e-07,-0.00017141152899922713,0.8000911205674843,-5.0062160734412846e-12,0.0,0.0,0.0,-9.90722586178725e-16,-1.6954513992098178e-11,3.2837733393605415,-3.2867613353690857,0.002987996008555873,-1.368586059697412e-14,-1.695559353932302e-11
77.12,7.319809414190913e-14,-1.5699999432887652,1.5700001447742629,-1.5699999999841765,-1.5700000000000405,9.936556539518914e-15,-1.0519738873022005e-13,-6.300710076317195e-07,-1.6084634047697642e-06,-3.0312893878370225e-13,3.195312800475533e-13,-8.918835730249405e-14,-0.0091826560002703,-0.1469815262812209,-9.800111114932372,2.5985684738039354e-06,4.2199006432986295e-07,-0.0005490369213754033,0.800294208876147,-5.0029842193932965e-12,0.0,0.0,0.0,1.931258028297133e-14,-1.6940376668169253e-11,3.2846068644771966,-3.287595569014773,0.002988704537588957,-1.437117477460507e-14,-1.692070868317943e-11
77.14,7.071165391553511e-14,-1.5699999540629774,1.5700001172695377,-1.5699999999841814,-1.5700000000000358,8.333957568242418e-15,-1.4850005461644254e-13,-5.103573653616786e-07,-1.3028553643225052e-06,-3.41551019085376e-13,2.957195354947103e-13,-7.909560433946324e-14,-0.007116975920700778,-0.13853104760263985,-9.80010649784272,2.0783796469152762e-06,6.157539317663391e-07,-0.0008003810570883533,0.8005318654538844,-5.000460696382209e-12,0.0,0.0,0.0,3.6229630777001496e-14,-1.6922394446858496e-11,3.28558226636762,-3.288571817989521,0.002989551621911959,-1.4009027587044599e-14,-1.688660919836522e-11
