q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
-5.760873713190053e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.1925096393398387e-20,1.0,1.2423605781857162e-09,2.267964430017868e-09,6.068108709350471e-12,4.4003256810186664e-13,2.7614557917676657e-13,-3.664467690074646e-19
-7.095484934694133e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2959773065897522e-19,1.0,1.2423610202855488e-09,2.267963369182146e-09,6.068108700634267e-12,-9.054781069973817e-13,-1.8310345872895047e-12,-2.090761904128411e-18
-7.069681892968458e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2684276515605668e-19,1.0,1.2423617253255514e-09,2.2679639102816955e-09,6.068108695699416e-12,1.921772396159416e-12,1.2330107149139942e-12,9.639438240426758e-18
-7.541380458694361e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2783334193908462e-19,1.0,1.2423606666139022e-09,2.267963682428608e-09,6.068108691098949e-12,-9.055438183226524e-13,-1.83107323692855e-12,-2.0074951772815217e-18
-8.203080074040869e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.278966725907798e-19,1.0,1.2423610661066991e-09,2.2679634403688354e-09,6.068108678938697e-12,-9.055370043288387e-13,-1.831030812531221e-12,-5.466533788379277e-18
-7.994885804971752e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.0286510046894788e-19,1.0,1.2423615722028194e-09,2.2679638794874094e-09,6.06810866688834e-12,4.400829167160328e-13,2.761384390549388e-13,1.0594959282454725e-18
-8.987788708608604e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.5427846909638369e-19,1.0,1.2423611086692718e-09,2.2679634548555303e-09,6.068108655102787e-12,-9.055088740529525e-13,-1.831064195549793e-12,-1.27870668570014e-17
-3.7833250999973855e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.9811259333440458e-19,1.0,1.2423615063960923e-09,2.2679649351110555e-09,6.0681086517709534e-12,4.400762276223092e-13,2.7618751785152185e-13,-4.526313664399845e-18
1.707681390094319e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.376947840393333e-19,1.0,1.242361388159322e-09,2.2679642251501178e-09,6.068108642097155e-12,-6.649563794626346e-13,1.0218851326194706e-12,-5.4144920840999704e-18
-2.9138367007911563e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.3044695327551664e-19,1.0,1.2423609165322275e-09,2.267963778602641e-09,6.06810862849534e-12,-2.0539371987128416e-12,-6.863024587565602e-13,-1.0184981643036188e-17
-2.0447497506929454e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.604562736905188e-19,1.0,1.242361853657387e-09,2.2679645323425095e-09,6.068108631847004e-12,1.921704048054461e-12,1.233016231334649e-12,8.050431536432007e-18
1.0945586029803833e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,9.887906546887209e-20,1.0,1.2423606630888236e-09,2.267963407784819e-09,6.068108616703807e-12,-9.055255551538982e-13,-1.831091944186514e-12,7.298984678098816e-19
9.040912699433923e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,4.918716921604492e-20,1.0,1.2423605545824083e-09,2.2679648852476718e-09,6.068108615012431e-12,-1.3202805493918296e-12,2.0356681693046718e-12,-5.310408675541362e-18
