q1,q2,q3,q4,q5,q6,wx_filt,wy_filt,wz_filt,target_dq1,target_dq2,target_dq3,target_dq4,target_dq5,target_dq6
-7.994885804971752e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,2.0286510046894788e-19,1.7036343184764494e-14,-1.04855765034262e-13,6.157921932033811e-19,-1.4224459020006107e-17,-3.495191446465027e-14,-3.4951914464650276e-14,-3.4951914464650276e-14,1.7036326946136626e-14,-2.7175166826040183e-17
-8.987788708608604e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.5427846909638369e-19,-1.0863570130304126e-14,-8.574152969389918e-14,3.6094970566462037e-19,-1.1560185494633804e-17,-2.8580509221544826e-14,-2.858050922154483e-14,-2.858050922154483e-14,-1.0863575604062562e-14,-2.548281616119557e-18
-3.7833250999973855e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.9811259333440456e-19,-3.739632845579065e-14,-6.737099541169084e-14,1.0945287745447926e-19,-8.996289133883044e-18,-2.2457004016413674e-14,-2.245700401641368e-14,-2.245700401641368e-14,-3.73963236754298e-14,2.0892869661939163e-17
1.707681390094319e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.376947840393333e-19,-6.238839737553163e-14,-4.981547399951329e-14,-1.3645378786405017e-19,-6.543356711018963e-18,-1.6605169414319694e-14,-1.6605169414319697e-14,-1.6605169414319697e-14,-6.238838291346705e-14,4.300175459802543e-17
-2.9138367007911563e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.3044695327551664e-19,-8.568301737915162e-14,-3.314435565372505e-14,-3.7466706717226104e-19,-4.2116493258490964e-18,-1.1048135445414646e-14,-1.1048135445414649e-14,-1.1048135445414649e-14,-8.568299386399866e-14,6.364538348538429e-17
-2.0447497506929452e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.6045627369051882e-19,-1.0714199043150288e-13,-1.7424153619268918e-14,-6.03252445655752e-19,-2.0109618981937315e-18,-5.808073160047499e-15,-5.8080731600475e-15,-5.8080731600475e-15,-1.0714195854195453e-13,8.270584509276202e-17
1.0945586029803833e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,9.887906546887208e-20,-1.2664716595577306e-13,-2.7173911701342684e-15,-8.2046658420399e-19,4.9535786453819826e-20,-9.058236226022268e-16,-9.058236226022268e-16,-9.058236226022268e-16,-1.26647126413898e-13,1.0008162647981113e-16
9.040912699433924e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,4.918716921604492e-20,-1.4410162329465202e-13,1.0918564127096275e-14,-1.024774979457502e-18,1.961462624336985e-18,3.639490667031312e-15,3.639490667031313e-15,3.639490667031313e-15,-1.441015768587015e-13,1.1568870051020242e-16
7.773874736141404e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.629141555827489e-21,-1.594305674524587e-13,2.3432625331874573e-14,-1.2148651436440467e-18,3.717382083450565e-18,7.810840746106068e-15,7.810840746106068e-15,7.810840746106068e-15,-1.5943051490927582e-13,1.2946138186544086e-16
-1.1401320998691678e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.231660227471753e-20,-1.7258196542362113e-13,3.4780987516451095e-14,-1.3896556492347185e-18,5.3109396307716216e-18,1.1593624984437237e-14,1.1593624984437238e-14,1.1593624984437238e-14,-1.7258190758074617e-13,1.413529621529878e-16
-3.64326196936952e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.9577574657012127e-20,-1.8352695328786694e-13,4.492793915352016e-14,-1.5483012978439914e-18,6.73697300480382e-18,1.4975939546836747e-14,1.4975939546836747e-14,1.4975939546836747e-14,-1.835268909654297e-13,1.5133613919079542e-16
-1.8722235099478488e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.1950974921435085e-19,-1.9226003737713167e-13,5.384644046225622e-14,-1.6901945477685664e-18,7.991589687979743e-18,1.794877117506263e-14,1.7948771175062632e-14,1.7948771175062632e-14,-1.9225997139961989e-13,1.594032532468103e-16
-2.6596548676001213e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-8.826400089331259e-20,-1.987990892848198e-13,6.151844702408084e-14,-1.8149632059344816e-18,9.072208703264045e-18,2.0506105059730714e-14,2.0506105059730718e-14,2.0506105059730718e-14,-1.987990204728134e-13,1.655663271693689e-16
-1.8723312916477597e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.323091584524077e-19,-2.0318509397380414e-13,6.793497081736368e-14,-1.9224642689731333e-18,9.9775656353653e-18,2.2644945185265187e-14,2.264494518526519e-14,2.264494518526519e-14,-2.0318502313578125e-13,1.6985687697893362e-16
-3.3716168027309656e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.3609669241937353e-19,-2.054815671165734e-13,7.309588461792882e-14,-2.0127737074398594e-18,1.0707681562866705e-17,2.436524913019612e-14,2.4365249130196123e-14,2.4365249130196123e-14,-2.0548149504091685e-13,1.7232542702823423e-16
-6.760337404872768e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.8659499161308664e-19,-2.0577353985941866e-13,7.700949737642692e-14,-2.0861720010147855e-18,1.1263799469798947e-17,2.5669786526511125e-14,2.566978652651113e-14,2.566978652651113e-14,-2.0577346730678432e-13,1.7304065241895416e-16
1.2457873168269354e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-6.403275132955948e-20,-2.0416603946963125e-13,7.969195433973205e-14,-2.1431254301800664e-18,1.1648295275460923e-17,2.656393910046079e-14,2.6563939100460793e-14,2.6563939100460793e-14,-2.041659671658534e-13,1.7208809883822006e-16
1.491907548890247e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,6.185723625227484e-20,-2.0078206426962608e-13,8.116653414993152e-14,-2.18426348844972e-18,1.1864573251442699e-17,2.7055466372671762e-14,2.7055466372671765e-14,2.7055466372671765e-14,-2.007819928993305e-13,1.6956848794876817e-16
