Zaman_s,Roll_Derece,Pitch_Derece,Yaw_Derece
102.2,94.41288334638507,0.011057683196150591,90.2629683555473
102.25,94.41288334638018,0.011057683197066591,90.26296835554251
102.3,94.41288334638215,0.011057683196669022,90.26296835554388
102.35,94.41288334638571,0.011057683196945731,90.26296835554517
102.4,94.41288334638541,0.011057683197317855,90.26296835554429
102.45,94.41288334638541,0.011057683197317855,90.26296835554429
102.5,94.41288334638892,0.011057683198345174,90.26296835554548
102.55,94.41288334638644,0.011057683198939938,90.26296835554437
102.6,94.41288334638509,0.011057683199715992,90.26296835554366
102.65,94.41288334638382,0.011057683199098965,90.26296835554453
102.7,94.41288334638121,0.011057683200005424,90.26296835554214
102.75,94.41288334638183,0.011057683197998493,90.26296835554487
102.8,94.41288334638082,0.011057683196818508,90.26296835554412
102.85,94.41288334637854,0.011057683198520105,90.26296835554032
102.9,94.41288334637967,0.01105768319785855,90.26296835554221
102.95,94.41288334637974,0.011057683197378286,90.2629683555425
103.0,94.41288334638169,0.011057683198946299,90.26296835554143
103.05,94.41288334638186,0.011057683199588771,90.26296835554172
103.1,94.41288334638057,0.011057683201109076,90.2629683555402
103.15,94.41288334637991,0.01105768320101684,90.26296835554118
103.2,94.41288334638074,0.011057683199054438,90.26296835554422
103.25,94.41288334637798,0.011057683198621883,90.26296835554196
103.3,94.41288334637525,0.01105768319866641,90.26296835553977
103.35,94.41288334637416,0.011057683198755466,90.26296835553862
103.4,94.41288334637362,0.011057683198504201,90.26296835553816
103.45,94.412883346374,0.011057683198411966,90.26296835553795
103.5,94.41288334637653,0.011057683199626937,90.26296835553812
103.55,94.41288334637699,0.011057683198771368,90.26296835554004
103.6,94.41288334638155,0.011057683197432356,90.26296835554402
103.65,94.41288334638283,0.011057683196417758,90.26296835554501
103.7,94.21600547746971,0.03165182414077902,90.15837956083679
103.75,94.0852732677289,0.038769131609505986,90.10062783997945
103.8,94.21629974112652,0.02477234570314961,89.9869624869868
103.85,94.3558186873003,0.016200940554582387,89.71769757932611
103.9,94.42690317039728,0.013343502711184424,89.41437070828265
103.95,94.46509204984062,0.006594900536524504,89.22136658514579
104.0,94.48025007808461,-0.005367081404175575,89.14964533783622
104.05,94.47225202158766,-0.018632245619863222,89.17291489353316
104.1,94.4517942951625,-0.029588309369982285,89.2465064954155
104.15,94.43068868734352,-0.03665184290926392,89.35387866516704
104.2,94.4144990012909,-0.04131996378043216,89.49866023007213
104.25,94.40110452965892,-0.04340007832119959,89.65229086937148
104.3,94.39160419984526,-0.04264863984859843,89.79521558804922
104.35,94.38680272949327,-0.03947852060735162,89.91781562039637
104.4,94.38577206745487,-0.03455543027632835,90.01666519517026
104.45,94.3871692684454,-0.028614163758721417,90.09249337054638
104.5,94.38986477315287,-0.022326106508369335,90.14828977048755
104.55,94.3930753851204,-0.01621860188939536,90.18788834682125
104.6,94.39631840987444,-0.010647598656231329,90.21509252990224
104.65,94.39932755267088,-0.005809011553859927,90.23322691108599
104.7,94.40197933475183,-0.0017708373661890135,90.24497023616988
104.75,94.4042657824809,0.0014910172856642493,90.25225994580929
104.8,94.40613198200984,0.004057463073589886,90.25666209439966
104.85,94.40763268581826,0.006019023123432443,90.25933022589447
104.9,94.40883251618571,0.0074807904278698925,90.26095047886047
104.95,94.40978294382445,0.008548817698934856,90.26192356888646
105.0,94.41052843115217,0.009317050366634189,90.26249359376605
105.05,94.52187719125519,0.3902972592264892,89.40022375544
105.1,96.09955797758957,-0.5223246698038201,89.95633104923665
105.15,95.02136200231486,-0.3976927743887257,91.27578004305974
105.2,94.1435816358066,-0.41851043382992803,92.42058310313561
105.25,93.80258357920462,-0.3166317399794879,92.54187891071795
105.3,93.83563651265602,-0.19340609127692168,92.17049299220054
105.35,93.99479882966395,-0.08588267637806019,91.65806589319502
105.4,94.15329447389831,-0.006485729232993912,91.17533252362772
105.45,94.27072867442268,0.043112072523388945,90.78925903498099
105.5,94.34464346431768,0.06758066730950321,90.51202583163314
105.55,94.38454170609089,0.07413529855805372,90.33071306872573
105.6,94.40860848904404,0.07074698443104047,90.21115855718168
105.65,94.42620213391886,0.06130005825817915,90.1517179513324
105.7,94.46457793669288,0.0538968425274573,90.07472466054821
105.75,94.53824735303102,0.04504604136995626,90.02931745589713
105.8,94.51280834627188,0.030066796329291667,90.08623967954352
105.85,94.43507409454679,0.018709422952017375,90.13710605945501
105.9,94.43178035577793,0.018318949846815844,90.08646461569833
105.95,94.56184221185923,0.02488032635562668,89.96488603160816
106.0,94.64622446258893,0.01980218307836515,89.96899439603612
106.05,94.55474790247229,0.006658359364830606,90.0675087203814
106.1,94.40405966593853,-0.0004043894022028693,90.12695425586149
106.15,94.33937046525782,0.0018278753674140639,90.10223526286232
106.2,94.42179674390326,0.013612022593015135,89.96031292671195
106.25,94.50747546818316,0.01331578925331727,89.9426090218367
106.3,94.47482286256506,0.006577791789340757,89.98495153135123
106.35,94.4063115771344,0.0030402987992478353,89.9978814673067
106.4,94.37062193430303,0.004295060555296908,89.96591119421103
106.45,94.37361708201588,0.006625107835112368,89.91606988070774
106.5,94.39167832754165,0.008185222207783473,89.87130093210132
106.55,94.40756540233878,0.009087031342700712,89.82441264295255
106.6,94.42323483507288,0.009845449960016734,89.7698799128407
106.65,94.43477122743515,0.010109532299409703,89.71275093094614
106.7,94.44080563476093,0.01097533355424232,89.64060525669447
106.75,94.45089424862502,0.014460007980280416,89.52205058161118
106.8,94.46726745817693,0.013738675570658445,89.44444474889981
106.85,94.44897813962751,0.009735858847973362,89.38709172715508
106.9,94.40419611772751,0.0064837090666724695,89.31215348051629
106.95,94.35287323912789,0.004247867351727796,89.22177678391955
107.0,94.29472434128523,0.0006983236327907978,89.12686940118331
107.05,94.21670730737218,-0.0026480198211542207,89.0065332621531
107.1,94.128116125244,-0.0018894085990918145,88.85588070559916
107.15,94.15662492602749,-0.006174400926712089,88.76287035903246
107.2,94.22783818881169,-0.013647792640864444,88.71408672353637
107.25,94.28251552958986,-0.01969266792726099,88.6559873969353
107.3,94.36545117560127,-0.033976149494198186,88.71080091141381
107.35,94.4054188366234,-0.04969894015201783,88.80789044909112
107.4,94.39818058428585,-0.05944696655054146,88.88035505298822
107.45,94.38053333000465,-0.06387980314148867,88.93337174381595
107.5,94.36106235704398,-0.06380840696347354,88.96014481055458
107.55,94.35773234264454,-0.06318582019127594,88.99479459276948
