Time_sec,Roll_deg,Pitch_deg,Yaw_deg
143.56,-7.24404e-06,1.31249e-08,0.560333
143.57,-7.00516e-06,1.47943e-08,0.560333
143.58,-6.75167e-06,1.62081e-08,0.560333
143.59,-6.48507e-06,1.71174e-08,0.560334
143.6,-6.20656e-06,1.79153e-08,0.560334
143.61,-5.91698e-06,1.86553e-08,0.560334
143.62,-5.61712e-06,1.93404e-08,0.560334
143.63,-5.30768e-06,1.9974e-08,0.560334
143.64,-4.98938e-06,2.05592e-08,0.560334
143.65,-4.66289e-06,2.10978e-08,0.560334
143.66,-4.32883e-06,2.15929e-08,0.560335
143.67,-3.98783e-06,2.2047e-08,0.560335
143.68,-3.6405e-06,2.24617e-08,0.560335
143.69,-3.2874e-06,2.28396e-08,0.560335
143.7,-2.92911e-06,2.3182e-08,0.560335
143.71,-2.56616e-06,2.34914e-08,0.560335
143.72,-2.19909e-06,2.37696e-08,0.560335
143.73,-1.82843e-06,2.40172e-08,0.560335
143.74,-1.45469e-06,2.42361e-08,0.560335
143.75,-1.07836e-06,2.44274e-08,0.560335
143.76,-6.99954e-07,2.45925e-08,0.560335
143.77,-3.19951e-07,2.47324e-08,0.560336
143.78,6.11655e-08,2.4848e-08,0.560336
143.79,4.42917e-07,2.49399e-08,0.560336
143.8,8.24829e-07,2.50088e-08,0.560336
143.81,1.20643e-06,2.50549e-08,0.560336
143.82,1.58725e-06,2.50791e-08,0.560336
143.83,1.96682e-06,2.50808e-08,0.560336
143.84,2.34467e-06,2.50605e-08,0.560336
143.85,2.72032e-06,2.50177e-08,0.560336
143.86,3.0933e-06,2.4952e-08,0.560336
143.87,3.4631e-06,2.48623e-08,0.560336
143.88,3.82924e-06,2.47481e-08,0.560336
143.89,4.19119e-06,2.46074e-08,0.560336
143.9,4.54841e-06,2.44379e-08,0.560336
143.91,4.90032e-06,2.42373e-08,0.560336
143.92,5.2463e-06,2.40013e-08,0.560335
143.93,5.58565e-06,2.3725e-08,0.560335
143.94,5.91758e-06,2.34016e-08,0.560335
143.95,6.24115e-06,2.30217e-08,0.560335
143.96,6.55517e-06,2.25719e-08,0.560335
143.97,6.85807e-06,2.20332e-08,0.560335
143.98,7.14763e-06,2.13743e-08,0.560335
143.99,7.42055e-06,2.06635e-08,0.560335
144,7.66322e-06,2.01849e-08,0.560335
144.01,7.85366e-06,1.87638e-08,0.560335
144.02,7.95808e-06,1.47464e-08,0.560335
144.03,7.84969e-06,1.14351e-08,0.560334
144.04,7.68029e-06,1.42271e-08,0.560334
144.05,7.4963e-06,1.68317e-08,0.560334
144.06,7.29866e-06,1.92595e-08,0.560334
144.07,7.08825e-06,2.15204e-08,0.560334
144.08,6.86589e-06,2.36243e-08,0.560334
144.09,6.63235e-06,2.55803e-08,0.560333
144.1,6.38835e-06,2.73967e-08,0.560333
144.11,6.13458e-06,2.90819e-08,0.560333
144.12,5.8717e-06,3.06435e-08,0.560333
144.13,5.60031e-06,3.2089e-08,0.560333
144.14,5.63358e-06,0.0101893,0.556176
144.15,5.86995e-06,-0.00220192,0.538503
144.16,5.84931e-06,-0.000170537,0.505004
144.17,5.88434e-06,-0.000132998,0.438918
144.18,5.91943e-06,-0.000120187,0.334445
144.19,5.95419e-06,-0.000108623,0.206563
144.2,5.98859e-06,-9.81817e-05,0.0665359
144.21,6.02241e-06,-8.87517e-05,-0.0794988
144.22,6.05558e-06,-8.02336e-05,-0.228494
144.23,6.08813e-06,-7.2538e-05,-0.379004
144.24,6.12013e-06,-6.55848e-05,-0.530354
144.25,6.15172e-06,-5.93025e-05,-0.681469
144.26,6.18286e-06,-5.36256e-05,-0.831403
144.27,6.21382e-06,-4.84955e-05,-0.979955
144.28,6.24463e-06,-4.3859e-05,-1.12724
144.29,6.27517e-06,-3.96683e-05,-1.27346
144.3,6.30533e-06,-3.58804e-05,-1.41883
144.31,6.33506e-06,-3.24564e-05,-1.56356
144.32,6.36429e-06,-2.93613e-05,-1.7078
144.33,6.39299e-06,-2.65635e-05,-1.85166
144.34,6.42111e-06,-2.40345e-05,-1.99524
144.35,6.4486e-06,-2.17486e-05,-2.13861
144.36,6.47513e-06,-1.96819e-05,-2.2818
144.37,6.49777e-06,-1.78087e-05,-2.42395
144.38,6.51717e-06,-1.611e-05,-2.56357
144.39,6.53512e-06,-1.45708e-05,-2.70078
144.4,6.55192e-06,-1.31769e-05,-2.83661
144.41,6.56727e-06,-1.19143e-05,-2.97159
144.42,6.58091e-06,-1.07704e-05,-3.10601
144.43,6.59261e-06,-9.73419e-06,-3.24005
144.44,6.60214e-06,-8.79559e-06,-3.37382
144.45,6.60944e-06,-7.94587e-06,-3.50737
144.46,6.61444e-06,-7.17745e-06,-3.64075
144.47,6.61707e-06,-6.48387e-06,-3.77397
144.48,6.61728e-06,-5.8604e-06,-3.90862
144.49,6.61426e-06,-5.3003e-06,-4.04723
144.5,6.60492e-06,-4.79631e-06,-4.18833
144.51,6.58505e-06,-4.33929e-06,-4.33046
144.52,6.55548e-06,-3.92487e-06,-4.47303
144.53,6.51705e-06,-3.54925e-06,-4.61575
144.54,6.47049e-06,-3.20893e-06,-4.75845
144.55,6.41651e-06,-2.90067e-06,-4.90104
144.56,6.35575e-06,-2.62152e-06,-5.04351
144.57,6.28882e-06,-2.36879e-06,-5.18585
144.58,6.21625e-06,-2.14001e-06,-5.32807
144.59,6.13874e-06,-1.93306e-06,-5.47018
144.6,6.0569e-06,-1.746e-06,-5.6122
144.61,5.9711e-06,-1.57696e-06,-5.75411
144.62,5.88162e-06,-1.42419e-06,-5.89591
144.63,5.78877e-06,-1.28614e-06,-6.0376
144.64,5.69279e-06,-1.1614e-06,-6.17916
144.65,5.59395e-06,-1.04869e-06,-6.32059
144.66,5.49246e-06,-9.46858e-07,-6.46188
144.67,5.38854e-06,-8.54862e-07,-6.60303
144.68,5.28238e-06,-7.71756e-07,-6.74403
144.69,5.17415e-06,-6.96688e-07,-6.88489
144.7,5.06404e-06,-6.28886e-07,-7.02559
144.71,4.95218e-06,-5.67652e-07,-7.16615
144.72,4.83871e-06,-5.12357e-07,-7.30656
144.73,4.72377e-06,-4.6243e-07,-7.44681
144.74,4.60747e-06,-4.17354e-07,-7.58692
144.75,4.48991e-06,-3.76666e-07,-7.72688
144.76,4.37119e-06,-3.39942e-07,-7.86669
144.77,4.25141e-06,-3.06803e-07,-8.00636
144.78,4.13065e-06,-2.76905e-07,-8.14588
144.79,4.00898e-06,-2.49935e-07,-8.28525
144.8,3.88647e-06,-2.25613e-07,-8.42449
144.81,3.76319e-06,-2.03686e-07,-8.56358
144.82,3.6392e-06,-1.83922e-07,-8.70252
144.83,3.51455e-06,-1.66115e-07,-8.84133
144.84,3.38929e-06,-1.50076e-07,-8.97999
144.85,3.26347e-06,-1.35638e-07,-9.11851
144.86,3.13714e-06,-1.22645e-07,-9.25689
144.87,3.01032e-06,-1.1096e-07,-9.39514
144.88,2.88306e-06,-1.00457e-07,-9.53324
144.89,2.7554e-06,-9.10226e-08,-9.67119
144.9,2.62736e-06,-8.25602e-08,-9.80901
144.91,2.49895e-06,-7.49119e-08,-9.94672
144.92,2.37029e-06,-6.79204e-08,-10.0844
144.93,2.24143e-06,-6.15034e-08,-10.222
144.94,2.11242e-06,-5.55945e-08,-10.3597
144.95,1.9833e-06,-5.01392e-08,-10.4973
144.96,1.85409e-06,-4.50923e-08,-10.635
144.97,1.72479e-06,-4.04151e-08,-10.7727
144.98,1.59544e-06,-3.60757e-08,-10.9103
144.99,1.46603e-06,-3.20449e-08,-11.048
145,1.33658e-06,-2.82977e-08,-11.1857
145.01,1.20709e-06,-2.48126e-08,-11.3234
145.02,1.07757e-06,-2.15693e-08,-11.4611
145.03,9.48014e-07,-1.85506e-08,-11.5987
145.04,8.18439e-07,-1.57409e-08,-11.7363
145.05,6.88782e-07,-1.3139e-08,-11.874
145.06,5.59044e-07,-1.07305e-08,-12.0117
145.07,4.29257e-07,-8.49634e-09,-12.1495
145.08,2.99446e-07,-6.42151e-09,-12.2876
145.09,1.69631e-07,-4.49407e-09,-12.4257
145.1,3.98253e-08,-2.7036e-09,-12.5641
145.11,-8.99556e-08,-1.04121e-09,-12.7027
145.12,-2.197e-07,5.01483e-10,-12.8414
145.13,-3.49397e-07,1.93107e-09,-12.9804
145.14,-4.79035e-07,3.25501e-09,-13.1196
145.15,-6.08603e-07,4.4793e-09,-13.259
145.16,-7.38091e-07,5.60996e-09,-13.3987
145.17,-8.67487e-07,6.652e-09,-13.5386
145.18,-9.96779e-07,7.61048e-09,-13.6787
145.19,-1.12596e-06,8.48979e-09,-13.8192
145.2,-1.25501e-06,9.36783e-09,-13.9598
145.21,-1.38393e-06,1.02807e-08,-14.1004
145.22,-1.51272e-06,1.11835e-08,-14.241
145.23,-1.64137e-06,1.20517e-08,-14.3815
145.24,-1.76985e-06,1.28732e-08,-14.5218
145.25,-1.89815e-06,1.36414e-08,-14.662
145.26,-2.02626e-06,1.43537e-08,-14.802
145.27,-2.15415e-06,1.50189e-08,-14.9419
145.28,-2.28183e-06,1.57173e-08,-15.0816
145.29,-2.40927e-06,1.64268e-08,-15.221
145.3,-2.53647e-06,1.712e-08,-15.3601
145.31,-2.66341e-06,1.77833e-08,-15.4988
145.32,-2.79005e-06,1.8409e-08,-15.6373
145.33,-2.91638e-06,1.89938e-08,-15.7754
145.34,-3.04238e-06,1.95362e-08,-15.9133
145.35,-3.16803e-06,2.00358e-08,-16.0508
145.36,-3.2933e-06,2.04938e-08,-16.1879
145.37,-3.41817e-06,2.09107e-08,-16.3248
145.38,-3.54262e-06,2.1288e-08,-16.4613
145.39,-3.66662e-06,2.16263e-08,-16.5974
145.4,-3.79015e-06,2.19272e-08,-16.7332
145.41,-3.91316e-06,2.2192e-08,-16.8685
145.42,-4.03564e-06,2.24214e-08,-17.0035
145.43,-4.15754e-06,2.26165e-08,-17.1381
145.44,-4.27881e-06,2.27786e-08,-17.2722
145.45,-4.39943e-06,2.29087e-08,-17.4058
145.46,-4.51914e-06,2.30581e-08,-17.5391
145.47,-4.63786e-06,2.32544e-08,-17.6721
145.48,-4.75559e-06,2.34862e-08,-17.8049
145.49,-4.8723e-06,2.37405e-08,-17.9377
145.5,-4.98793e-06,2.40055e-08,-18.0704
145.51,-5.10237e-06,2.42726e-08,-18.2031
145.52,-5.2155e-06,2.45363e-08,-18.3358
145.53,-5.32715e-06,2.47939e-08,-18.4684
145.54,-5.4371e-06,2.50439e-08,-18.6011
145.55,-5.5451e-06,2.52881e-08,-18.7337
145.56,-5.65076e-06,2.55302e-08,-18.8663
145.57,-5.75362e-06,2.57769e-08,-18.9989
145.58,-5.85298e-06,2.604e-08,-19.1314
145.59,-5.94745e-06,2.64807e-08,-19.264
145.6,-6.03465e-06,2.76666e-08,-19.3977
145.61,-6.11389e-06,3.21519e-08,-19.5321
145.62,-6.18194e-06,4.26138e-08,-19.6654
145.63,-6.22771e-06,5.32015e-08,-19.7981
145.64,-6.26341e-06,6.17844e-08,-19.9315
145.65,-6.29234e-06,6.75623e-08,-20.0661
145.66,-6.31512e-06,7.13072e-08,-20.202
145.67,-6.33233e-06,7.35852e-08,-20.3389
145.68,-6.34449e-06,7.48423e-08,-20.4768
145.69,-6.35209e-06,7.55195e-08,-20.6155
145.7,-6.3556e-06,7.58019e-08,-20.755
145.71,-6.3555e-06,7.56652e-08,-20.8952
145.72,-6.35215e-06,7.51768e-08,-21.036
145.73,-6.34586e-06,7.44489e-08,-21.1773
145.74,-6.33692e-06,7.35943e-08,-21.3189
145.75,-6.32563e-06,7.27068e-08,-21.4609
145.76,-6.31219e-06,7.18125e-08,-21.6031
145.77,-6.29677e-06,7.09261e-08,-21.7455
145.78,-6.2795e-06,7.00595e-08,-21.8879
145.79,-6.26053e-06,6.92232e-08,-22.0304
145.8,-6.23998e-06,6.84246e-08,-22.173
145.81,-6.21795e-06,6.76672e-08,-22.3156
145.82,-6.19456e-06,6.69553e-08,-22.4582
145.83,-6.1699e-06,6.62898e-08,-22.6009
145.84,-6.14404e-06,6.56707e-08,-22.7436
145.85,-6.11708e-06,6.50976e-08,-22.8863
145.86,-6.08907e-06,6.45679e-08,-23.029
145.87,-6.06008e-06,6.40805e-08,-23.1718
145.88,-6.03018e-06,6.3633e-08,-23.3145
145.89,-5.99941e-06,6.32228e-08,-23.4573
145.9,-5.96783e-06,6.28486e-08,-23.6
145.91,-5.93547e-06,6.25061e-08,-23.7428
145.92,-5.90237e-06,6.21937e-08,-23.8855
145.93,-5.86858e-06,6.19088e-08,-24.0283
145.94,-5.83413e-06,6.16496e-08,-24.1711
145.95,-5.79904e-06,6.14141e-08,-24.3138
145.96,-5.76334e-06,6.12e-08,-24.4566
145.97,-5.72707e-06,6.10052e-08,-24.5994
145.98,-5.69024e-06,6.08288e-08,-24.7421
145.99,-5.65287e-06,6.06689e-08,-24.8849
146,-5.61498e-06,6.05234e-08,-25.0277
146.01,-5.57659e-06,6.03918e-08,-25.1705
146.02,-5.53772e-06,6.02727e-08,-25.3132
146.03,-5.49839e-06,6.01645e-08,-25.456
146.04,-5.45859e-06,6.00668e-08,-25.5988
146.05,-5.41836e-06,5.99784e-08,-25.7416
146.06,-5.3777e-06,5.98984e-08,-25.8843
146.07,-5.33662e-06,5.9826e-08,-26.0271
